U_up,U_low
0.17,0.153
0.17,0.153
0.17,0.154
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.154
0.17,0.153
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.153
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.155
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.155
0.17,0.154
0.17,0.154
0.17,0.154
0.169,0.154
0.169,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.154
0.17,0.153
0.17,0.154
0.17,0.153
0.17,0.152
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.154
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.154
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.17,0.153
0.171,0.153
0.171,0.153
0.17,0.152
0.171,0.152
0.17,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.171,0.153
0.171,0.152
0.171,0.152
0.171,0.152
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.152
0.17,0.152
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.153
0.17,0.154
0.169,0.153
0.169,0.154
0.169,0.154
0.168,0.154
0.168,0.154
0.168,0.154
0.168,0.155
0.167,0.155
0.167,0.155
0.167,0.155
0.167,0.155
0.167,0.155
0.167,0.156
0.167,0.155
0.167,0.155
0.167,0.155
0.168,0.155
0.169,0.154
0.169,0.154
0.169,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.17,0.154
0.171,0.154
0.171,0.153
